feature,f_score,p_value
GNE_NSR_SEO,11.191274509251786,0.0008730397733148971
tqwt_maxValue_dec_28,11.019413819550547,0.0009561845662184697
std_1st_delta_delta,10.902941498975485,0.0010170577965849816
tqwt_entropy_log_dec_22,10.868822846915549,0.0010356234998134305
tqwt_kurtosisValue_dec_22,10.823187581574611,0.001060994727230828
tqwt_medianValue_dec_10,10.777635936201486,0.0010869485431051226
tqwt_maxValue_dec_23,10.758009474150265,0.0010983287409478202
tqwt_stdValue_dec_36,10.576398955981894,0.0012095438480817765
tqwt_kurtosisValue_dec_33,10.554030330480204,0.0012240106653426687
tqwt_minValue_dec_26,10.484131346454458,0.001270359613950653
tqwt_minValue_dec_35,10.385691958335777,0.0013386724261020171
tqwt_minValue_dec_28,10.238567937946499,0.0014477924860928021
IMF_NSR_SEO,10.231490139444716,0.0014532641655082838
IMF_NSR_TKEO,10.065924163321252,0.001587430485620075
tqwt_kurtosisValue_dec_21,10.030546841053702,0.0016176932456326968
tqwt_minValue_dec_23,9.964822756060759,0.001675480869287623
tqwt_maxValue_dec_26,9.898910780445906,0.0017355417309598616
tqwt_TKEO_std_dec_6,9.81218518657543,0.0018179172335136846
tqwt_maxValue_dec_2,9.766727709187714,0.0018626712281356367
mean_MFCC_7th_coef,9.539226003460614,0.00210407558387994
mean_0th_delta,9.524294619696011,0.002120990645865268
det_entropy_log_3_coef,9.244033519797265,0.0024654702116219908
tqwt_stdValue_dec_19,9.241860820967089,0.0024683522940463828
tqwt_maxValue_dec_35,9.205280280557336,0.002517394600426624
meanNoiseToHarmHarmonicity,9.14736561223292,0.0025970761100168513
tqwt_minValue_dec_2,9.089361245593869,0.0026794564052675576
tqwt_entropy_shannon_dec_5,8.913385973828808,0.0029460445440525956
det_LT_entropy_log_7_coef,8.846837448908685,0.0030537688439766708
tqwt_stdValue_dec_32,8.787349708938214,0.0031534590196574423
tqwt_entropy_log_dec_25,8.596569169215853,0.003496128125102942
std_MFCC_1st_coef,8.563058962640126,0.0035601290550195414
tqwt_TKEO_mean_dec_17,8.459502775457185,0.00376556606411729
tqwt_entropy_log_dec_2,8.291147093783316,0.004125721070426075
ddaShimmer,8.272109392493922,0.004168601706508545
apq3Shimmer,8.27132356364855,0.004170381457585659
tqwt_energy_dec_32,8.14713407195384,0.00446162667613911
tqwt_kurtosisValue_dec_15,8.078950031234857,0.00463028026833032
tqwt_energy_dec_5,7.972267713929315,0.004907333064031988
